Title,Year,Type,Genre,Director,runtime_min,perspective,imdb_score,imdb_votes,rt_score,metacritic_score,BoxOffice,plot_sentiment,plot_pos,plot_neg,Plot
The Apprentice,2024,movie,"Biography, Drama, History",Ali Abbasi,122.0,critical,7.1,65222.0,82.0,64.0,"$4,001,904",0.6486,0.178,0.063,"A young man took over his father's real-estate business in 1970s and '80s New York, and got the helping hand of an infamous closeted gay lawyer who helped him turn this young man into a notorious legend. Based on true events."
Bad President,2021,movie,"Comedy, Fantasy",Param Gill,90.0,critical,3.5,4722.0,,,,0.0387,0.22,0.177,"The devil encourages media personality Donald Trump to run for president of the United States, so he can have a political puppet. But throughout Trump's many gaffes, the devil wonders if he even has a chance of winning."
A Storm Foretold,2023,movie,"Documentary, Biography, History",Christoffer Guldbrandsen,101.0,critical,7.6,714.0,,,"$3,269",0.0,0.0,0.0,"With Trump's political godfather, Roger Stone, as the film's central character the film documents how Trump's presidential period had to find its logical end point in The Storm at the Capitol."
Fahrenheit 11/9,2018,movie,Documentary,Michael Moore,128.0,critical,7.2,21455.0,82.0,69.0,"$6,352,306",-0.7579,0.0,0.213,"Filmmaker Michael Moore examines the current state of American politics, particularly the Donald Trump presidency and gun violence, while highlighting the power of grassroots democratic movements."
Unfit: The Psychology of Donald Trump,2020,movie,"Documentary, Biography",Dan Partland,83.0,critical,7.0,3377.0,81.0,,,0.0,0.0,0.0,"An eye-opening and shattering analysis of the behavior, psyche, condition, and stability of Donald Trump."
Get Me Roger Stone,2017,movie,"Documentary, Biography","Dylan Bank, Daniel DiMauro, Morgan Pehme",92.0,critical,7.3,7856.0,88.0,75.0,,-0.6808,0.066,0.242,"A documentary exploring the life and career of notorious Republican dirty trickster and longtime Trump adviser, Roger Stone, who helped create the real estate mogul's political career."
You've Been Trumped,2011,movie,Documentary,Anthony Baxter,79.0,critical,7.5,2318.0,88.0,57.0,"$29,273",0.4767,0.084,0.0,"In this David and Goliath story for the 21st century, a group of proud Scottish homeowners take on celebrity tycoon Donald Trump as he buys up one of Scotland's last wilderness areas to build a golf resort."
You've Been Trumped Too,2016,movie,Documentary,Anthony Baxter,79.0,critical,6.0,232.0,75.0,54.0,,-0.3182,0.0,0.141,"A chronicle of the confrontation between billionaire Donald Trump and feisty 92-year-old Scottish widow, Molly Forbes."
Trumped: Inside the Greatest Political Upset of All Time,2017,movie,"Documentary, Biography","Ted Bourne, Mary Robertson, Banks Tarver",105.0,neutral,6.4,786.0,36.0,,,0.25,0.083,0.054,"Unprecedented access and never-before-seen footage of candidate Trump, from the primaries through the debates to the dawning realization that the controversial businessman will become the 45th President of the United States."
Looking for Melania Trump,2020,movie,"Documentary, Biography",Laura Haïm,52.0,critical,4.7,151.0,,,,-0.7845,0.0,0.169,"Hack, Laurence Haïm, starts this degrading ""bio"" by inferring incest. Her father ""dressed her"" for her first photo shoot. A quick shift to a photo of her father looking identical to a similarly clad Donald Trump completes the scene.."
A Dangerous Game,2014,movie,Documentary,Anthony Baxter,102.0,critical,7.1,207.0,,,,0.34,0.192,0.094,"This sequel to You've Been Trumped (2011) investigates how land developers like Donald Trump use golf as an excuse to build huge luxurious resorts at the expense of the locals and their ecosystem, and abuse natural resources."
Vindicating Trump,2024,movie,Documentary,"Debbie D'Souza, Dinesh D'Souza, Bruce Schooley",96.0,pro-trump,4.0,1458.0,,,"$1,372,091",-0.6908,0.092,0.215,"Dinesh D'Souza examines the challenges faced by Donald Trump, including political opposition, legal battles, and assassination attempts, during his bid to return to the presidency."
Trump Card,2020,movie,Documentary,"Debbie D'Souza, Dinesh D'Souza, Bruce Schooley",103.0,pro-trump,4.6,3019.0,,,,0.0,0.0,0.0,The facts before and after the election to take over America by the left.
The Plot Against the President,2020,movie,Documentary,Amanda Milius,91.0,pro-trump,5.4,4477.0,,,,-0.4404,0.0,0.162,Follows the story of the biggest political scandal in U.S. history. Based on Lee Smith's book.
My Dinner with Trump,2022,movie,Documentary,Albert Hanover,73.0,pro-trump,6.8,76.0,,,,0.5106,0.204,0.131,"This is the Trump that the media will never show you. Unguarded with his closest advisors. Access like no president has ever given. Love him or hate him, you've never seen anything like this before."
Government Gangsters,2024,movie,Documentary,M.A. Taylor,,pro-trump,8.5,10.0,,,,-0.8402,0.162,0.426,"Government conspiracy to undermine President Trump and his supporters, exposing corruption, deceit, and betrayal within the system meant to protect democracy."
The First Step,2021,movie,Documentary,Brandon Kramer,90.0,neutral,8.8,89.0,87.0,64.0,,-0.2732,0.177,0.219,"In a divided America, Van Jones attempts to pass a landmark criminal justice bill - and finds himself under fire from all sides."
Harry Benson: Shoot First,2016,movie,Documentary,"Justin Bare, Matthew Miele",87.0,neutral,7.4,447.0,85.0,74.0,"$18,092",0.5267,0.086,0.0,"What we know today about many famous musicians, politicians, and actresses is due to the famous work of photographer Harry Benson. He captured vibrant and intimate photos of the most famous band in history;The Beatles. His extensi..."
The Comey Rule,2020,series,Drama,,2.0,critical,7.5,10373.0,,,,0.2675,0.126,0.102,"Jeff Daniels and Brendan Gleeson star as former FBI Dir. James Comey and President Donald J. Trump in this limited series of the story of two powerful men, whose strikingly different ethics and loyalties put them on a collision co..."
Trump: An American Dream,2017,series,"Documentary, Biography",,,neutral,7.2,4618.0,,,,0.0,0.0,0.0,A British documentary series exploring the extraordinary journey of Donald Trump through five decades.
Celebrity,1998,movie,"Comedy, Drama",Woody Allen,113.0,neutral,6.3,29549.0,43.0,42.0,"$5,078,660",0.0,0.0,0.0,The fortunes of a husband and wife differ drastically after they divorce.
